character you 're going to read 96
do n't want to be a 7
but i do n't think it 7
i 'm not going to let 7
for the first time in his 7
stand up for what 's right 7
i 'll take care of it 7
up to the top of the 7
there was no sign of the 7
at the head of the table 7
from the other side of the 7
on the ground in front of 7
do you want to talk about 7
all i had to do was 7
i want to talk to you 7
but she did n't want to 7
i 'm the only one who 7
there 's no way i 'm 7
you know what it 's like 7
at the end of the year 7
what do you want me to 7
next to the letter with the 7
to the letter with the best 7
the letter with the best answer 7
objectives after reading this story students 7
after reading this story students should 7
we 're going to have a 7
when she asked them to help 7
can you do when you 're 7
a skills sheet is available at 7
you do n't know what you 6
could n't have done it without 6
at the end of the week 6
know what it 's like to 6
vocabulary preview as you read look 6
preview as you read look for 6
you 're the only one who 6
it had nothing to do with 6
be ready to tackle all of 6
ready to tackle all of them 6
to tackle all of them on 6
in the middle of the room 6
i 'll tell you what i 6
i do n't know how you 6
as far as he was concerned 6
stood in the center of the 6
in the center of the room 6
and she did n't want to 6
he was going to have to 6
at the back of her neck 6
i can do whatever i want 6
n't have anything to do with 6
she did n't want to be 6
why do n't you tell me 6
do you think you 're going 6
i want mom and dad to 6
want mom and dad to come 6
mom and dad to come back 6
it 's good to see you 6
there is a knock at the 6
let 's have a look at 6
i do n't think there 's 6
i 'll see what i can 6
'll see what i can do 6
what it would be like to 6
you 're the best friend i 6
you do n't have to be 6
the first time in his life 6
to stand up for what 's 6
i wish i were a duck 6
wish i were a duck he 6
i were a duck he said 6
in the middle of the floor 6
for the first time in a 6
you do n't have to go 6
cocked his head to one side 6
i do n't know what happened 6
you think i do n't know 6
to a stop in front of 6
and for the first time in 6
took a deep breath and said 6
if you do n't want to 6
and i did n't want to 6
i 'm glad you 're here 6
shut up shut up shut up 6
what do you think you 're 6
no i do n't want to 6
n't want to talk about it 6
over to the side of the 6
at the top of the stairs 6
i 'm going to be a 6
for the rest of your life 6
knew what she had to do 6
i did n't want you to 6
at the top of his lungs 6
what do you want from me 6
the other side of the island 6
that 's why i want to 6
what happens last in the play 6
reading this story students should be 6
does n't know what to say 6
how could i have been so 6
be ready to tackle all questions 6
ready to tackle all questions on 6
to tackle all questions on the 6
talk about it what do you 6
there 's nothing we can do 6
i did n't expect you to 6
find out with the exercises below 6
i ca n't believe i 'm 6
defined here are in the story 6
by scott ingram think about it 6
but when she asked them to 6
skills sheet is available at storyworks 6
sheet is available at storyworks online 6
with this line from the play 5
but i do n't think i 5
if you do n't want it 5
do n't know what i 'd 5
n't know what to do with 5
i could n't have done it 5
that 's why i 'm here 5
there was a knock at the 5
i knew what i had to 5
knew what i had to do 5
what did the hamburger name his 5
i 've got something for you 5
this lesson will help your students 5
what does this tell you about 5
that was a long time ago 5
the little book of fairy tales 5
he did n't want to go 5
i took a deep breath and 5
know what we have to do 5
i do n't think that 's 5
the other side of the room 5
i did n't know how to 5
i would n't be able to 5
adapted for scope by rachel waugh 5
it has something to do with 5
tackle all of them on the 5
all of them on the big 5
of them on the big tests 5
walk the rest of the way 5
i 've got a lot of 5
do n't know what it is 5
i ca n't stop thinking about 5
i 'll never be able to 5
i know what i 'm doing 5
but i do n't think he 5
his head from side to side 5
i 've been waiting for you 5
out of the corner of his 5
of the corner of his eye 5
the corner of her eye she 5
to get a better look at 5
did n't want to talk about 5
but she was n't about to 5
there 's nothing to worry about 5
to the side of the road 5
we wo n't be able to 5
you do n't know how to 5
he would n't be able to 5
n't want anything to do with 5
get the hell out of here 5
i do n't want to hear 5
as far as i 'm concerned 5
at the bottom of the stairs 5
i do n't want to leave 5
you do n't need to be 5
up in the middle of the 5
the hell do you think you 5
did n't have the heart to 5
where do you think you 're 5
th president of the united states 5
looked out the window at the 5
to tell you the truth i 5
're the best friend i 've 5
the best friend i 've ever 5
best friend i 've ever had 5
none of this would have happened 5
founder of the national woman 's 5
of the national woman 's party 5
do n't have to tell you 5
you do n't want to go 5
do n't know what i 'm 5
it 's nice to meet you 5
who will cry for the little 5
will cry for the little boy 5
i do n't care if you 5
and at the end of the 5
when i was your age i 5
i 'm so proud of you 5
did n't want to go to 5
did n't have a lot of 5
how hard could it be to 5
at the end of the table 5
what i 'm going to do 5
what do you want to do 5
from one foot to the other 5
out in the middle of the 5
by the time they reached the 5
what do you mean by that 5
do n't want to go to 5
the other side of the street 5
i 'm not going to be 5
i hope you do n't mind 5
i do n't have to be 5
you want to talk about it 5
in the back of her throat 5
i do n't know answered hadley 5
the rest of the way home 5
but there was no sign of 5
i just do n't want to 5
you 'll get used to it 5
you do n't have to do 5
i do n't think you 're 5
we do n't know how to 5
but i do n't know what 5
there 's only one thing to 5
's only one thing to do 5
i 'll be back in a 5
i did n't want to be 5
but never filled turned into a 5
in the corner of the room 5
did n't get a chance to 5
the ghost of christmas yet to 5
ghost of christmas yet to come 5
all the way up to the 5
i do n't want to lose 5
'd like you to meet my 5
play quiz read each question about 5
i 'll be on my way 5
because of the color of their 5
of the color of their skin 5
i do n't think i 'm 5
do n't want to be late 5
it 's the day of the 5
there 's one in the teacher 5
's one in the teacher 's 5
one in the teacher 's edition 5
the president of the united states 5
tackle all questions on the big 5
all questions on the big tests 5
winners and send them copies of 5
i know what you 're thinking 5
on the other end of the 5
if i were you i 'd 5
but you do n't have to 5
i 'm on my way to 5
get out of the car and 5
i 'm sorry for what i 5
since i was a little kid 5
shared reading need to become a 5
reading need to become a smoother 5
need to become a smoother reader 5
and help tell the action of 5
she always said i do n't 5
always said i do n't care 5
is a knock at the door 5
vocabulary words are highlighted in red 5
what did you think of the 5
we will choose winners and send 5
will choose winners and send them 5
do you want me to do 5
check it out as you read 5
i ca n't go on i 5
monkey see monkey do he said 5
years old and she wanted to 5
old and she wanted to be 5
and she wanted to be rich 5
farmer john looked at cow number 5
what can you do when you 5
the astounding book of world feats 5
be careful what you wish for 4
circle the character you will play 4
n't know what else to say 4
n't have done it without you 4
there 's nothing wrong with you 4
i 'm not sure what i 4
wo n't be able to see 4
i 'll show you how to 4
for the rest of the morning 4
i did n't want to get 4
did the hamburger name his daughter 4
i do n't feel so good 4
that 's what i want to 4
we 're not going to let 4
're not going to let you 4
knew what he had to do 4
we have to get out of 4
i 've never seen anything like 4
've never seen anything like it 4
in the middle of the day 4
look for word nerd 's words 4
for word nerd 's words in 4
word nerd 's words in bold 4
pushed open the door of the 4
i 'm sorry to tell you 4
sidebar vocabulary preview as you read 4
if that 's the way you 4
that 's the way you want 4
's the way you want it 4
sidebar characters write your initials next 4
i do n't have any money 4
read this story very carefully or 4
this story very carefully or else 4
story very carefully or else you 4
very carefully or else you 'll 4
carefully or else you 'll miss 4
or else you 'll miss the 4
else you 'll miss the important 4
you 'll miss the important clues 4
i guess we 'll have to 4
glasses and fearsome powers of deduction 4
but i do n't have a 4
i 'm sorry to hear that 4
all i have to do is 4
i do n't know if you 4
i did n't think it would 4
so what are you going to 4
did n't know you were a 4
it all the way to the 4
what do you want to know 4
in the back of the room 4
i could n't stop thinking about 4
for children church street honesdale pa 4
children church street honesdale pa sorry 4
church street honesdale pa sorry we 4
street honesdale pa sorry we can 4
honesdale pa sorry we can not 4
pa sorry we can not return 4
sorry we can not return any 4
we can not return any work 4
so you may want to keep 4
you may want to keep a 4
may want to keep a copy 4
are you going to pay for 4
the last game of the season 4
i did n't realize that i 4
at the top of my lungs 4
you do n't have to say 4
i did n't want to see 4
closed her eyes and tried to 4
first time in my life i 4
i have a word with you 4
names in red are leading roles 4
you know i do n't like 4
clasped his hands behind his back 4
not the end of the world 4
have no idea what you 're 4
had no idea what he was 4
i do n't know about this 4
from the corner of her eye 4
she was going to have to 4
i 'll meet you in the 4
a hell of a lot of 4
the corner of his eye he 4
well i 'm not going to 4
if that 's what you want 4
she would n't be able to 4
to think of something to say 4
are n't you supposed to be 4
would be a dream come true 4
n't know what i 'd do 4
she was on her way to 4
a lot of work to do 4
did n't want to be here 4
was the only one who could 4
to stand in the way of 4
her hands on her hips and 4
on the way back to the 4
in the pit of her stomach 4
pulled up in front of the 4
he made his way through the 4
in the back of my mind 4
he made his way to the 4
on the back of his neck 4
stopped in the middle of the 4
the last time he 'd seen 4
'll see you in a few 4
do n't you want to be 4
i ca n't think of anything 4
there was nothing to do but 4
at her reflection in the mirror 4
do n't think there 's anything 4
i want to see how it 4
want to see how it looks 4
the voice on the other end 4
but i could n't help it 4
'm not going to let you 4
do n't think it 's fair 4
at the edge of the forest 4
you do n't want me to 4
do n't want you to miss 4
zero you did n't steal the 4
what do you think happens next 4
i do n't know i said 4
did n't get where we are 4
n't get where we are today 4
get where we are today by 4
're the only one who can 4
as far as she was concerned 4
for the rest of the summer 4
just in time to see the 4
the top of the key and 4
at each other for a moment 4
i do n't have to tell 4
based on a true story and 4
what do you think is the 4
do you think i could have 4
i did n't make the team 4
you do n't know what it 4
first time in his life he 4
i 'm not in the mood 4
at the top of her lungs 4
you do n't want to be 4
around to the front of the 4
what she was going to do 4
took a deep breath trying to 4
looked like she was going to 4
was n't going to be easy 4
but it was more than that 4
and i do n't know what 4
on the table in front of 4
i think i just need to 4
piece of paper out of his 4
more than anything in the world 4
as if he were trying to 4
to keep an eye on things 4
looked at me as if i 4
let 's get this over with 4
when was the last time you 4
she would not be able to 4
i do n't know how it 4
on the bank of the river 4
i do n't mean to be 4
at the top of the hill 4
by the side of the road 4
ancient crete where women and men 4
that 's one small step for 4
she did n't know what to 4
i told you i do n't 4
think i do n't know that 4
room at the end of the 4
i do n't want to know 4
standing in the middle of the 4
i do n't know if it 4
by the scruff of the neck 4
to think of a way to 4
i 'd like to see you 4
there 's no such thing as 4
you do n't have to tell 4
it was hard to believe that 4
do n't be such a baby 4
what do you think of this 4
what 's that supposed to mean 4
i 'll remember you you remember 4
'll remember you you remember too 4
you are the only one who 4
in front of the city hall 4
what am i going to tell 4
in the middle of the road 4
i do n't know about that 4
it was a long time ago 4
it had been a long time 4
how many times do i have 4
many times do i have to 4
i 'll get it for you 4
on the floor in front of 4
stared out the window at the 4
and i looked at each other 4
i thought we were going to 4
what are we gon na do 4
i 'm not the only one 4
but what am i supposed to 4
why do n't you just go 4
are you sure you 're okay 4
was sitting at the kitchen table 4
she did n't want to go 4
this was one of those times 4
on the sidewalk in front of 4
up shut up shut up shut 4
at the top of the steps 4
what do you want to be 4
to be when you grow up 4
did n't know if it was 4
will call down dragons for the 4
call down dragons for the king 4
folded his arms across his chest 4
at the edge of the world 4
was about the size of a 4
if you know what i mean 4
the other side of the door 4
on the other side of town 4
i do n't know said hadley 4
see you in a few minutes 4
could n't believe what she was 4
only one way to find out 4
trying to decide what to do 4
you sure you want to do 4
it 's time for me to 4
i 'm getting out of here 4
on your mark get set go 4
i thought you were going to 4
no way i 'm going to 4
so you do n't have to 4
come to think of it i 4
i think it 's time to 4
on the far side of the 4
do n't think it 's a 4
was a knock on the door 4
felt the blood drain from her 4
the blood drain from her face 4
the only one who did n't 4
it was all he could do 4
it 's too late for that 4
i did n't want to say 4
what we 're going to do 4
i have a dream that all 4
know what i 'm going to 4
right in the middle of my 4
but there was no time to 4
who does she think she is 4
you 've got to help me 4
you do n't have to worry 4
of the lady of wild things 4
i had n't thought of that 4
' so be it ' said 4
one foot in front of the 4
foot in front of the other 4
' said the great goat and 4
i do n't ever want to 4
what it 's like to be 4
have to make the best of 4
to make the best of it 4
in the middle of the plaza 4
in front of the cacique 's 4
on the opposite side of the 4
but i do n't know where 4
am the ghost of christmas past 4
am the ghost of christmas present 4
did n't you just tell me 4
answering these questions will help you 4
you 're going to be late 4
i do n't have time to 4
a few days later there was 4
few days later there was a 4
days later there was a knock 4
you should raise your voice at 4
should raise your voice at the 4
raise your voice at the end 4
i know you can do it 4
do n't know what you mean 4
as soon as i got home 4
her arms up in the air 4
what 's going on with you 4
a player on the racine belles 4
it happened because butch the bully 4
i could n't hang out with 4
my dear friend i 've left 4
dear friend i 've left you 4
friend i 've left you behind 4
from the back of the house 4
what are you doing in my 4
deep breath and let it out 4
if it were n't for you 4
just in time to see a 4
i ca n't wait to get 4
tell the action of the story 4
are you out of your mind 4
i just do n't get it 4
why do you want to go 4
took a deep breath and started 4
i 'm not afraid of the 4
n't want to be late for 4
had no idea what to do 4
had no idea what she was 4
the head of the table and 4
there was no such thing as 4
in the beginning of the play 4
it 's not too late to 4
and e mail it to us 4
e mail it to us at 4
the terrible day of the bats 4
i do n't know where to 4
the moral of the story is 4
they all look at each other 4
erin pins and needles needles and 4
pins and needles needles and cream 4
i guess i 'll have to 4
looked at me like i was 4
into the driver 's seat and 4
it is the king 's law 4
do you know what time it 4
you know what time it is 4
what reason have you to be 4
ghost i am the ghost of 4
tiny tim and god bless us 4
tim and god bless us every 4
and god bless us every one 4
talk about it do you think 4
and then another ant came and 4
then another ant came and took 4
praesum the first saved the world 4
the first saved the world from 4
first saved the world from armageddon 4
he and his descendants are our 4
and his descendants are our leaders 4
for as long as i can 4
i have to go to the 4
and flies high into the sky 4
go all the way to the 4
there 's going to be a 4
to print out the following activities 4
print out the following activities that 4
out the following activities that can 4
the other end of the line 4
the owls who live there are 4
owls who live there are toast 4
choose a role that you like 4
then pick a partner to read 4
as president of the united states 4
he plopped a dollop of sweet 4
plopped a dollop of sweet filling 4
a dollop of sweet filling in 4
dollop of sweet filling in the 4
of sweet filling in the center 4
sweet filling in the center of 4
filling in the center of each 4
in the center of each circle 4
then he slid the tray into 4
he slid the tray into the 4
slid the tray into the oven 4
i 'm sick and tired of 4
all the way to the top 4
i want you to know that 4
two years and fifty one weeks 4
what the hell do you think 4
hell do you think you 're 4
if it 's all right with 4
fill in the blanks in the 4
do n't want to lose you 4
by the end of the play 4
what was i going to do 4
asked isabel if she wanted to 4
and she said i do n't 4
she said i do n't care 4
i 'm getting my very own 4
that was my favorite book when 4
was my favorite book when i 4
my favorite book when i was 4
favorite book when i was your 4
book when i was your age 4
sidebar vocabulary words are highlighted in 4
think tank discuss or write your 4
tank discuss or write your answers 4
discuss or write your answers to 4
or write your answers to these 4
write your answers to these questions 4
take your feet off the chair 4
i do n't think we should 4
how are we going to get 4
reaches into his pocket and pulls 4
into his pocket and pulls out 4
you 're not going to be 4
a season of faith 's perfection 4
reading zone play quiz read each 4
zone play quiz read each question 4
activity on page and send it 4
on page and send it to 4
choose winners and send them copies 4
scene n the next day the 4
only the length of a thumb 4
i 've run away from a 4
a e indicates a fictional or 4
e indicates a fictional or composite 4
indicates a fictional or composite character 4
in the middle of the sea 4
bryce 's family is at home 4
i have a surprise for you 4
if you say so said sadie 4
there just in time to see 4
to be or not to be 4
the correct answer to each question 4
the door to the cell opened 4
the knights of the round table 4
do n't get it do you 4
now that you 've read the 4
that you 've read the play 4
you 've read the play it 4
've read the play it 's 4
read the play it 's time 4
the play it 's time to 4
play it 's time to answer 4
it 's time to answer these 4
's time to answer these questions 4
not my problem not my problem 4
i remember the first time i 4
remember the first time i saw 4
when it shines in the sky 4
will not be able to see 4
professor n chant is a genius 4
show him i 'm not a 4
him i 'm not a baby 4
asked the little girl of the 4
the little girl of the wise 4
little girl of the wise old 4
girl of the wise old woman 4
but there was just one thing 4
i asked it if i should 4
practice with this line from the 3
characters circle the character you will 3
there is a knock on the 3
is a knock on the door 3
i wish my son alive again 3
you 're afraid of your own 3
now on blu ray and dvd 3
i do n't know what we 3
i 'm afraid i ca n't 3
take a closer look at the 3
i have something to tell you 3
telegram coleman france to abbott chicago 3
to the end of her walkway 3
the end of her walkway when 3
end of her walkway when the 3
of her walkway when the pesky 3
her walkway when the pesky winds 3
walkway when the pesky winds blew 3
that he jumped over myrtle 's 3
he jumped over myrtle 's juniper 3
jumped over myrtle 's juniper hedges 3
over myrtle 's juniper hedges and 3
was a knock at the door 3
the parrot did n't do it 3
i do n't know i say 3
if you ca n't vote you 3
a mile march from selma to 3
mile march from selma to montgomery 3
we are on the move now 3
i do n't know when i 3
only one thing left to do 3
at the end of the block 3
he felt as if he were 3
wo n't be able to ignore 3
this play is based on the 3
crowd the whole class reads this 3
do you have a cell phone 3
an injured dolphin on the beach 3
she wo n't be able to 3
does n't want to talk to 3
n't want to talk to anyone 3
and it 's going to be 3
they are going to read a 3
of the united states of america 3
sidebar as you read think about 3
hugo and his father work on 3
and his father work on the 3
his father work on the automaton 3
that people like machines can be 3
people like machines can be broken 3
when it was time to go 3
we know what we have to 3
you are about to read is 3
it 's not as bad as 3
i 'm going to get my 3
i know what it 's like 3
snicket i 'm sorry to tell 3
'm sorry to tell you that 3
if it was n't for you 3
i felt like i was going 3
felt like i was going to 3
like i was going to be 3
i would n't be surprised if 3
he did n't know what to 3
i have n't seen her since 3
but i 'm not going to 3
i am not afraid of you 3
i think it has something to 3
think it has something to do 3
i 'll see you at the 3
i look down at my feet 3
i would have been here sooner 3
would have been here sooner but 3
an employee at average joe 's 3
once upon a time in a 3
i could n't believe it when 3
i ca n't wait for the 3
tanya torrence fifth grade detective needs 3
torrence fifth grade detective needs your 3
fifth grade detective needs your help 3
you need to read this story 3
need to read this story very 3
to read this story very carefully 3
micro mystery solution read page first 3
look below to discover the solution 3
girl with curly brown hair black 3
but i do n't have any 3
i do n't know what it 3
god of water ease our pain 3
what does this have to do 3
does this have to do with 3
i ca n't tell you he 3
i 'm an old man now 3
the hair on the back of 3
needed to find a way to 3
do you want to send a 3
you want to send a story 3
want to send a story to 3
to send a story to our 3
send a story to our own 3
a story to our own stories 3
include your name age and full 3
your name age and full address 3
stories highlights for children church street 3
highlights for children church street honesdale 3
can not return any work so 3
not return any work so you 3
return any work so you may 3
any work so you may want 3
work so you may want to 3
i 'm gon na eat it 3
'm gon na eat it all 3
you going to pay for it 3
when i woke up it was 3
slides into the driver 's seat 3
that i was the only one 3
that 's a lot of money 3
he pulled out his cell phone 3
you 'll have to be quiet 3
what would you do if you 3
her advice for other kids who 3
advice for other kids who want 3
for other kids who want to 3
other kids who want to write 3
's winning entry go to toolong 3
at full speed anna guided copper 3
full speed anna guided copper toward 3
speed anna guided copper toward the 3
anna guided copper toward the stampeding 3
guided copper toward the stampeding cattle 3
i had no choice but to 3
i could n't think of anything 3
it would mean a lot to 3
i 'm sorry to have to 3
'm sorry to have to tell 3
sorry to have to tell you 3
i ca n't believe this is 3
brutus says he was ambitious and 3
even the wild oxen and wild 3
the wild oxen and wild boar 3
i do n't see why you 3
well what are you waiting for 3
it was supposed to be a 3
with the back of his hand 3
in a heap on the floor 3
camp rock ' n ' roll 3
as far as the eye could 3
far as the eye could see 3
the pebble beach hotel and golf 3
pebble beach hotel and golf resort 3
you put your mind to it 3
congregation for the doctrine of the 3
for the doctrine of the faith 3
he clasped his hands behind his 3
made the sign of the cross 3
in the back of the head 3
he 's the only one who 3
at him out of the corner 3
him out of the corner of 3
you ca n't keep a cat 3
he looked as though he had 3
i 'd like to make a 3
had to find a way to 3
to find a way to get 3
corner of her eye she saw 3
've got to be kidding me 3
n't want to end up like 3
it 's not the same thing 3
could n't remember the last time 3
i have a favor to ask 3
and she was n't about to 3
stood in the middle of the 3
you do n't want to get 3
and he did n't want to 3
did n't want to do anything 3
never done anything like this before 3
as she rose to her feet 3
it 's just that i have 3
his arms folded across his chest 3
do n't like to talk about 3
never know what 's going to 3
she could n't think of anything 3
could n't think of anything else 3
there 's no way you could 3
what are you doing in here 3
do you mean to tell me 3
with a shake of her head 3
i ca n't say that i 3
i did n't want her to 3
and got out of the car 3
to figure out what to do 3
know what i 'd do without 3
what i 'd do without you 3
that 's not what we 're 3
smiled for the first time in 3
what was the matter with him 3
do n't know how to play 3
did n't want anything to do 3
can i get you something to 3
i get you something to drink 3
it was the day of the 3
you have no idea what you 3
they were in the middle of 3
do n't want to be her 3
do n't even know how to 3
for all the world as if 3
to see the old man 's 3
as it had been in the 3
off to the side of the 3
it was going to be difficult 3
how long have you been standing 3
long have you been standing there 3
subject re speak o wise one 3
i 've been thinking about your 3
n't want to think about it 3
on the northern side of the 3
she did n't know what she 3
he scrambled to his feet and 3
have a lot of explaining to 3
a lot of explaining to do 3
for the rest of our lives 3
had fallen in love with the 3
get out of here he said 3
now it was her turn to 3
it turned out to be a 3
do n't get me wrong i 3
as he made his way through 3
off the face of the earth 3
from the rest of the world 3
the fact that he was n't 3
it 's a hell of a 3
the sound of his mother 's 3
he turned on his heel and 3
i might as well have been 3
to look him in the eye 3
his head to one side and 3
now that i think about it 3
his arms over his chest and 3
as long as you do n't 3
i 'm trying to tell you 3
into the crook of her arm 3
that 's what i do for 3
how am i supposed to know 3
i closed my eyes and pictured 3
i 'm not about to let 3
what i do n't get is 3
i did n't have the heart 3
born in the year of the 3
we 'll see you in a 3
i know said the baby sitter 3
but for now i am going 3
and dad to come back said 3
dad to come back said jacob 3
but i do n't think that 3
the th president of the united 3
do n't know what 's wrong 3
with a whirl of skirts and 3
and let 's have a look 3
's have a look at it 3
as soon as she saw it 3
soon as she saw it she 3
looked at her reflection in the 3
before he takes a second look 3
he 'll say i look like 3
'll say i look like a 3
because i could n't have lived 3
i could n't have lived through 3
could n't have lived through christmas 3
n't have lived through christmas without 3
have lived through christmas without giving 3
lived through christmas without giving you 3
through christmas without giving you a 3
christmas without giving you a present 3
you like me just as well 3
like me just as well anyhow 3
me without my hair are n't 3
without my hair are n't i 3
you say your hair is gone 3
n't think there 's anything in 3
think there 's anything in the 3
there 's anything in the way 3
's anything in the way of 3
anything in the way of a 3
in the way of a haircut 3
that could make me love you 3
could make me love you any 3
make me love you any less 3
they 're too nice to use 3
're too nice to use just 3
i sold the watch to get 3
sold the watch to get the 3
the watch to get the money 3
watch to get the money to 3
to get the money to buy 3
get the money to buy your 3
the money to buy your combs 3
gifts these two were the wisest 3
trying to figure out what to 3
what he was going to do 3
the television in the living room 3
with her hands on her hips 3
i do n't care what you 3
you do n't know anything i 3
the next day at school i 3
it 's not every day that 3
we asked you to tell us 3
as long as anyone can remember 3
it 's not easy being a 3
i do n't think so said 3
i do n't have anything to 3
i was the only one who 3
the way it 's supposed to 3
way it 's supposed to be 3
she sang who makes the best 3
sang who makes the best guava 3
who makes the best guava duff 3
he does n't have time to 3
around to the side of the 3
and in the middle of the 3
emotions it calls to me i 3
in the palm of her hand 3
off from the rest of the 3
adapted from the new walt disney 3
i was walking home from school 3
just fell out of the sky 3
the warden 's grandfather trout walker 3
go through all the dirt twice 3
n't want you to miss anything 3
i 've been waiting for this 3
your role go over your lines 3
role go over your lines with 3
go over your lines with a 3
over your lines with a partner 3
cliff hanger what do you think 3
hanger what do you think happens 3
does n't know what he 's 3
i thought to myself as i 3
at the foot of her bed 3
we johnsons did n't get where 3
johnsons did n't get where we 3
it was the first night of 3
do n't make a big deal 3
just in time to see another 3
of the women 's death battalion 3
the one thing i do n't 3
a founder of the national woman 3
in front of the white house 3
did it ever occur to you 3
the worst day of my life 3
i 'm so happy to see 3
'm so happy to see you 3
i do n't want to hurt 3
i am so proud of you 3
what do you think of the 3
on april the first shots of 3
april the first shots of the 3
war are fired at fort sumter 3
are fired at fort sumter south 3
fired at fort sumter south carolina 3
the th amendment to the u 3
boy i 'm looking for my 3
i 'm looking for my father 3
teach me to read and write 3
come a long way to see 3
photograph left the boy realizes his 3
left the boy realizes his dream 3
the boy realizes his dream and 3
boy realizes his dream and learns 3
realizes his dream and learns about 3
his dream and learns about books 3
dream and learns about books from 3
one of the dog 's last 3
of the dog 's last days 3
he could n't stop thinking about 3
was as much a part of 3
what he was supposed to do 3
what do you have to lose 3
to sit in the back of 3
based on the new movie in 3
on the new movie in theaters 3
the new movie in theaters now 3
are you ready to get dramatic 3
's mother starred characters are major 3
characters are major roles vocabulary preview 3
i do n't know where the 3
why do you always have to 3
our play is based on the 3
a ride to school in his 3
i ca n't wait to hear 3
taught me to stand up for 3
me to stand up for what 3
and i 'm going to be 3
at the front of the line 3
to give up her bus seat 3
stories must have fewer than words 3
want to keep a copy for 3
to keep a copy for yourself 3
he felt as if he 'd 3
stood at the edge of the 3
if that 's what you mean 3
but i could tell she was 3
and i could n't wait to 3
you want me to help you 3
i 'm going to help you 3
we do n't know anything about 3
just as he was about to 3
i do n't want her to 3
i 'm going to find out 3
she looked up at him with 3
do n't think i 'm going 3
n't think i 'm going to 3
for the first time in years 3
's breath caught in her throat 3
breath caught in her throat as 3
anything i can do for you 3
all she had to do was 3
guess i 'll just have to 3
i can take care of myself 3
if i do n't want to 3
but that was n't going to 3
she felt as if she 'd 3
he 'd be on his way 3
that was the only way to 3
am i supposed to do with 3
in this part of the world 3
i thought you might want to 3
the table in front of her 3
clasped his hands behind his head 3
in the back of the house 3
for the first time in the 3
i do n't know what else 3
what did you say your name 3
did you say your name was 3
i am not in the mood 3
he cocked his head to one 3
like you 've seen a ghost 3
i could n't help but notice 3
could n't help but notice that 3
would not be able to keep 3
to get out of this place 3
she closed her eyes and tried 3
the only way to stop the 3
if i do say so myself 3
there was nothing for it but 3
and put her hands on her 3
i do n't care if he 3
did as he was told and 3
n't know what to do about 3
did n't know what she was 3
